no2 cars temp windspeed tempdiff winddir hour day
22.1999491869614 2206.00838322746 6.4 3.5 -0.3 56 14 196
80.5002266541454 1044.99773820559 -7.2 1.7 1.2 74 23 143
77.200041917239 1840.99230236600 -1.3 2.6 -0.1 65 11 115
46.2000093283495 333.999668345947 -3.1 1.8 0.3 78 2 55
88.3998258836774 3323.98618556668 1 1.2 1.5 215 18 47
25.2998887881875 607.000733827328 -0.9 3 0.1 235 1 69
15.4000383549862 747.997772478408 6.5 4.1 0 88 24 186
39.2998224086053 644.000820389319 -1.1 2.5 1 277 6 142
39.4001648379716 2101.99043290142 0.8 3.4 -0.4 70 12 167
23.4000930768756 2322.98900580036 8.2 4.5 0.2 307 14 32
30.7998555489692 177.999368049131 0.2 0.4 0.2 230 5 112
51.0002227315458 2328.9900554606 -5.4 2.5 1.4 83 20 98
43.79983279897 2432.99916600783 5.7 4.8 -1.5 223 11 178
42.7000461060084 1786.99371842114 3.2 4.2 -0.6 285 12 121
31.7001052161761 2325.01088562560 2.1 4.9 0.2 149 19 60
10.5999575882338 456.998450363976 5.3 3.2 0 73 1 209
9.19996794674989 1937.99652623364 10.7 3.1 -0.9 56 13 189
24.7999094015263 846.000541773309 -6.4 2.8 -0.1 77 22 84
57.1997770127696 634.000662887145 -3 0.6 1.7 57 6 73
51.7001146958336 597.999549137692 -13.4 4.4 -0.1 80 6 95
48.9999853925815 1290.99691342067 1.4 0.9 0.2 274 10 76
25.100054062001 2085.99241623413 8.5 4.3 -0.2 322 13 32
28.7000825767468 379.001438276490 -2.8 2.1 -0.2 65 1 124
45.3999044309531 4224.00918557911 2.7 7.7 0.1 219 17 159
14.400025825243 931.000672855294 7.8 7.5 0.8 220 21 34
43.2998859042847 195.999086792946 1.5 3.3 1.6 251 5 156
32.5999253991366 2344.99840333605 -7.3 0.5 -0.3 176 13 84
27.6999331546264 249.999770534544 1.1 1 0.2 9 5 113
41.8001530078963 466.00203450189 -7.9 1.2 0.3 56 11 86
14.9999969834672 698.999481178759 1.1 2.8 0 66 24 59
31.7001052161761 758.998650957916 4.1 3.9 0.3 212 6 106
70.8999692621566 2079.99340080411 5.9 2.4 2.6 249 16 48
13.0999707843195 958.998969187337 -6.8 6.9 -0.1 50 10 90
44.500036081852 804.000587580326 0.3 0.6 0.7 252 21 104
59.3997489542357 1584.00226136061 1.8 1.7 0.7 91 22 140
78.2000275614959 2353.00849733986 9.2 5.7 -0.9 199 14 212
72.0002794313863 3855.01431750650 11 5.5 -1 216 17 193
49.9998497288185 560.999492001997 1.5 1.6 0.5 275 24 114
45.2001316751058 3714.98529920993 2 3.5 -0.2 82 8 64
17.3999964117640 158.000784783688 2.4 2.1 0.3 216 4 177
68.7997423486588 3542.0112694478 4.2 5.9 0.3 214 16 108
60.9997642858835 3823.99130357887 0.8 1.3 0.2 215 8 162
32.4999970965901 686.001627381973 0.5 2.1 0 83 23 58
13.8000194281621 1389.00091291452 5 3.5 -0.1 62 23 196
54.1999507622708 2942.98602598207 -1.6 5.3 0.6 227 18 81
49.1998217242085 2743.00688236679 -9.1 1.6 0.6 21 14 83
166.500780983319 2551.99325133506 -0.1 1 1.8 174 18 50
76.6998689678867 468.998701600492 -0.6 1.3 1.2 337 7 146
7.39999999844508 541.000390144194 5.6 4.3 0 98 1 211
52.7999371304324 713.99788489267 5.5 0.8 0.1 89 6 206
62.9002413033306 4089.99898143942 6.3 1.2 1.3 265 17 33
93.899963734492 3872.98187628177 1 3.4 1.3 248 8 43
12.4000437397009 1185.00230652270 4.9 4.9 -0.1 229 11 126
24.3999235720203 312.999001362525 -6.4 5.1 -0.1 82 6 118
45.9999357615465 118.999584320454 -1 1.1 2.3 291 3 36
85.5003098574594 2620.99684609125 5.9 1.3 -0.1 85 9 184
48.7999847324782 302.000900754133 -2.1 1 0.5 211 6 55
19.1999946425530 121.999872542609 2.8 5 -0.1 80 4 186
29.3000727806159 317.999560276208 0.1 0.4 0.2 145 2 112
54.0997735458572 1129.00275007838 -16.2 2.6 0.9 73 22 91
60.9997642858835 2042.99061280916 -3.4 2.9 1.7 213 20 81
20.2999820132388 1305.00219271923 -7 7.8 -0.1 49 11 90
60.8000128304964 1895.99680938551 -8 0.3 -0.2 289 14 95
12.8000618123019 252.000229947226 -1.5 7.5 0.3 3 5 40
4.50001171452201 351.001325565984 6.5 3.6 0.1 49 2 196
35.6001552925945 1521.99918052250 -4.9 4.6 0.3 359 21 116
95.9003853375815 3561.01181086742 -4.2 1.4 0.2 86 16 101
80.3000304375027 2281.00177397 -5.2 0.6 0.1 91 7 74
28.6000938703360 1151.99442288678 2.3 3.1 0.7 225 22 120
19.9000053385648 1031.99592769320 4.2 5.5 -0.4 238 9 160
97.6998476810571 3876.00398061274 3.8 0.7 -0.4 161 8 191
35.2001378926075 595.999602429184 2 0.6 1.1 177 7 139
80.8002451857864 2730.00849528453 -5.2 4.5 -0.1 76 9 120
20.2999820132388 2884.9994837518 9.8 2.2 0 44 18 189
82.0000617243545 2531.00060606036 8.9 0.5 -0.6 296 15 184
73.5003376436944 3685.01545999507 2.9 2.2 -0.1 73 17 129
45.9002241271949 2935.99004775665 -8.8 2.1 -0.2 48 15 88
38.9999358009966 2449.01210555406 4.9 2.9 0.4 189 15 133
12.9000346834042 2155.00861454816 6.8 9.9 -0.2 249 15 160
25.8999231106419 1020.00213559835 1.8 4.2 0.3 207 23 130
67.7998511828008 1104.99932158341 -3.4 1.5 1.7 76 23 44
37.0000772322443 2026.99564914646 0.9 3.9 0.1 107 19 65
31.8001179850199 2808.98924968475 4.3 5.6 -0.9 64 12 174
25.4000209797866 1699.00828829960 2.1 1.6 1 205 20 178
46.9001090214170 3020.99038904615 1.2 2.3 0.1 245 17 168
25.5000394698388 93.9995504676945 6.5 3.7 0 80 4 185
82.900409349501 3834.98192261440 0 3.5 -0.2 77 8 157
62.9002413033306 1941.99291394376 8.4 1.8 -0.9 108 13 191
55.9999053189117 1048.99726379585 -7.5 1.3 2.3 236 20 86
16.9999431511394 282.000825996662 4.6 2.5 0.7 229 2 125
64.5003080655243 2589.99182935651 1.3 2.2 0.2 227 7 141
68.1996886779803 351.999586189713 -0.6 0.6 1.7 142 1 79
100.200181497358 2497.0117601991 3.4 2.3 0.5 8 15 44
5.09999724737631 245.999622160929 1.5 4.3 0.2 156 4 62
73.6997936995958 3636.0019805393 2.4 3.4 0.4 186 16 148
15.4000383549862 455.99871886324 4.5 2.9 0.6 196 1 125
58.7998909317118 2745.99838994401 2.7 2.5 0 212 9 131
38.5999121283277 2030.99276644312 5.1 2.9 1.1 192 20 192
71.1997993289261 177.000047334439 -2.7 2.2 1.5 219 3 153
16.4999937150434 965.996296157809 5.6 7 0.6 191 21 125
40.2001207760574 2870.00772388737 7.3 2.8 0.7 317 16 35
48.7000472347108 1014.00184127243 6.4 0.5 -2.1 71 9 188
77.7998886539376 2171.99200476580 3.6 2.9 -0.3 74 10 187
82.5001407995177 1353.00050308502 -1.8 1.8 1.1 2 21 135
66.1000828327618 2235.99142657756 -9.9 2.7 0.7 78 21 119
24.0999556440725 989.995106314746 -1.4 4.8 -0.1 72 23 57
15.2999567255658 1325.99712159418 7 4.1 0.4 159 22 212
72.5996426759669 2439.99190339255 -0.8 0.8 1.1 80 18 113
22.1000528516893 254.999095986204 -1.4 2.2 1.7 212 1 142
80.8002451857864 2813.00897773236 -4.2 1.3 -0.2 240 15 74
16.3999781088001 101.999713045408 -9.6 2.9 0.8 73 6 86
95.3000180440888 2317.00341889271 -4.1 2 -0.1 85 15 99
36.3000819919624 901.00427290502 -9.3 3.6 0.3 73 8 83
20.4998998342853 2873.99980847961 3.6 3.2 1.2 268 18 42
23.9000368314230 1006.99910103281 4.8 4.6 0.2 199 23 109
74.1996920577775 2447.00473876037 -4.6 5.7 -0.2 81 18 122
17.1000262740229 1754.99274151057 10.8 2.6 -3.5 262 12 203
46.4998924645354 195.000086080088 -13.8 3.8 0.2 79 5 95
47.299986022952 3462.99811473492 5.4 3 0.1 234 15 131
19.3999405183471 651.000232922263 4.3 3.2 1.1 218 24 138
92.8003118278119 1993.00733382939 2.6 1.3 0.2 233 12 50
21.9999460261833 2579.00772184357 6.5 5.2 -0.2 69 19 196
51.4999069050951 2096.99364420830 4.8 4.4 -0.6 229 13 141
30.9001179176007 2126.00518978091 3.4 2.9 0.6 23 18 174
48.299924620252 1739.00780055540 -2.8 1.4 -0.1 243 20 102
21.3000623512537 497.999961641724 5.9 3.3 1.8 248 24 41
49.9998497288185 2028.00940038773 6.9 2.7 0.1 178 19 190
52.7999371304324 230.00015894772 -0.9 1.6 4.3 96 6 49
23.4000930768756 338.001387329587 4.6 4.3 0.3 203 1 127
66.4001954498571 3374.99796384074 5.2 2.8 0.3 209 8 33
34.1000891958457 114.000176883165 2.9 2.4 0.6 80 3 200
18.8000588471771 2967.98930249466 12.2 5.4 -1.4 234 17 203
26.2000154379078 137.999491449243 4.4 2.2 0.2 82 2 170
16.9999431511394 172.999724152104 3.1 1.5 0 179 3 202
44.9000990159146 2226.99851401834 2.1 3.1 0 79 10 64
15.0999283684746 2210.0048741343 11.5 7.3 -2.1 216 14 210
17.8000274601161 192.000888572722 4 8.3 0.3 218 5 46
28.4998835129118 2913.99421060124 4.9 2.8 0.3 194 17 126
61.9997281278004 228.000996600566 -7.7 2.5 0.9 352 2 81
89.6999310149184 1444.99335222555 -7.2 1.3 1 85 21 143
46.9001090214170 1951.00518845121 -5.5 5 -0.1 82 17 118
76.1998885429053 3433.99642363708 -2.8 4 -0.3 79 8 149
70.8999692621566 1874.99261550608 -2.2 1.7 -0.7 250 13 137
187.999630988332 3531.0127259998 -1.5 1.9 3.2 83 8 78
58.7998909317118 3251.00676109903 -13.6 3.1 0 77 8 96
66.9998245010351 1172.00355100486 0.2 3 1 90 21 174
45.3001344284483 274.00051885016 -4.4 2.9 0.3 74 1 101
48.299924620252 2409.99511617682 7.5 8.1 -0.5 220 15 156
54.6997970946682 2880.01274941385 1.1 3.9 0 78 9 59
45.3001344284483 296.999364776278 2 1.2 0.4 76 1 141
63.0999514415924 2308.00778344772 -1.3 4.2 -0.2 59 15 149
