stationid,name,water,hyear,hmonth,day,level,month
149180140,"WISŁA","Wisła (2)",1981,1,1,114,11
149180140,"WISŁA","Wisła (2)",1981,1,2,114,11
149180140,"WISŁA","Wisła (2)",1981,1,3,114,11
149180140,"WISŁA","Wisła (2)",1981,1,4,114,11
149180140,"WISŁA","Wisła (2)",1981,1,5,113,11
149180140,"WISŁA","Wisła (2)",1981,1,6,112,11
149180140,"WISŁA","Wisła (2)",1981,1,7,113,11
149180140,"WISŁA","Wisła (2)",1981,1,8,114,11
149180140,"WISŁA","Wisła (2)",1981,1,9,114,11
149180140,"WISŁA","Wisła (2)",1981,1,10,114,11
149180140,"WISŁA","Wisła (2)",1981,1,11,113,11
149180140,"WISŁA","Wisła (2)",1981,1,12,112,11
149180140,"WISŁA","Wisła (2)",1981,1,13,112,11
149180140,"WISŁA","Wisła (2)",1981,1,14,111,11
149180140,"WISŁA","Wisła (2)",1981,1,15,110,11
149180140,"WISŁA","Wisła (2)",1981,1,16,114,11
149180140,"WISŁA","Wisła (2)",1981,1,17,123,11
149180140,"WISŁA","Wisła (2)",1981,1,18,127,11
149180140,"WISŁA","Wisła (2)",1981,1,19,124,11
149180140,"WISŁA","Wisła (2)",1981,1,20,122,11
149180140,"WISŁA","Wisła (2)",1981,1,21,122,11
149180140,"WISŁA","Wisła (2)",1981,1,22,128,11
149180140,"WISŁA","Wisła (2)",1981,1,23,126,11
149180140,"WISŁA","Wisła (2)",1981,1,24,116,11
149180140,"WISŁA","Wisła (2)",1981,1,25,115,11
149180140,"WISŁA","Wisła (2)",1981,1,26,115,11
149180140,"WISŁA","Wisła (2)",1981,1,27,114,11
149180140,"WISŁA","Wisła (2)",1981,1,28,114,11
149180140,"WISŁA","Wisła (2)",1981,1,29,114,11
149180140,"WISŁA","Wisła (2)",1981,1,30,125,11
149180140,"WISŁA","Wisła (2)",1981,2,1,114,12
149180140,"WISŁA","Wisła (2)",1981,2,2,117,12
149180140,"WISŁA","Wisła (2)",1981,2,3,114,12
149180140,"WISŁA","Wisła (2)",1981,2,4,113,12
149180140,"WISŁA","Wisła (2)",1981,2,5,113,12
149180140,"WISŁA","Wisła (2)",1981,2,6,116,12
149180140,"WISŁA","Wisła (2)",1981,2,7,112,12
149180140,"WISŁA","Wisła (2)",1981,2,8,112,12
149180140,"WISŁA","Wisła (2)",1981,2,9,112,12
149180140,"WISŁA","Wisła (2)",1981,2,10,112,12
149180140,"WISŁA","Wisła (2)",1981,2,11,112,12
149180140,"WISŁA","Wisła (2)",1981,2,12,113,12
149180140,"WISŁA","Wisła (2)",1981,2,13,114,12
149180140,"WISŁA","Wisła (2)",1981,2,14,125,12
149180140,"WISŁA","Wisła (2)",1981,2,15,119,12
149180140,"WISŁA","Wisła (2)",1981,2,16,119,12
149180140,"WISŁA","Wisła (2)",1981,2,17,118,12
149180140,"WISŁA","Wisła (2)",1981,2,18,117,12
149180140,"WISŁA","Wisła (2)",1981,2,19,116,12
149180140,"WISŁA","Wisła (2)",1981,2,20,116,12
149180140,"WISŁA","Wisła (2)",1981,2,21,116,12
149180140,"WISŁA","Wisła (2)",1981,2,22,116,12
149180140,"WISŁA","Wisła (2)",1981,2,23,116,12
149180140,"WISŁA","Wisła (2)",1981,2,24,125,12
149180140,"WISŁA","Wisła (2)",1981,2,25,126,12
149180140,"WISŁA","Wisła (2)",1981,2,26,129,12
149180140,"WISŁA","Wisła (2)",1981,2,27,125,12
149180140,"WISŁA","Wisła (2)",1981,2,28,123,12
149180140,"WISŁA","Wisła (2)",1981,2,29,122,12
149180140,"WISŁA","Wisła (2)",1981,2,30,121,12
149180140,"WISŁA","Wisła (2)",1981,2,31,121,12
149180140,"WISŁA","Wisła (2)",1981,3,1,120,1
149180140,"WISŁA","Wisła (2)",1981,3,2,120,1
149180140,"WISŁA","Wisła (2)",1981,3,3,120,1
149180140,"WISŁA","Wisła (2)",1981,3,4,121,1
149180140,"WISŁA","Wisła (2)",1981,3,5,120,1
149180140,"WISŁA","Wisła (2)",1981,3,6,118,1
149180140,"WISŁA","Wisła (2)",1981,3,7,114,1
149180140,"WISŁA","Wisła (2)",1981,3,8,117,1
149180140,"WISŁA","Wisła (2)",1981,3,9,135,1
149180140,"WISŁA","Wisła (2)",1981,3,10,139,1
149180140,"WISŁA","Wisła (2)",1981,3,11,120,1
149180140,"WISŁA","Wisła (2)",1981,3,12,112,1
149180140,"WISŁA","Wisła (2)",1981,3,13,113,1
149180140,"WISŁA","Wisła (2)",1981,3,14,112,1
149180140,"WISŁA","Wisła (2)",1981,3,15,112,1
149180140,"WISŁA","Wisła (2)",1981,3,16,112,1
149180140,"WISŁA","Wisła (2)",1981,3,17,111,1
149180140,"WISŁA","Wisła (2)",1981,3,18,110,1
149180140,"WISŁA","Wisła (2)",1981,3,19,110,1
149180140,"WISŁA","Wisła (2)",1981,3,20,111,1
149180140,"WISŁA","Wisła (2)",1981,3,21,111,1
149180140,"WISŁA","Wisła (2)",1981,3,22,111,1
149180140,"WISŁA","Wisła (2)",1981,3,23,110,1
149180140,"WISŁA","Wisła (2)",1981,3,24,110,1
149180140,"WISŁA","Wisła (2)",1981,3,25,112,1
149180140,"WISŁA","Wisła (2)",1981,3,26,108,1
149180140,"WISŁA","Wisła (2)",1981,3,27,109,1
149180140,"WISŁA","Wisła (2)",1981,3,28,110,1
149180140,"WISŁA","Wisła (2)",1981,3,29,113,1
149180140,"WISŁA","Wisła (2)",1981,3,30,116,1
149180140,"WISŁA","Wisła (2)",1981,3,31,116,1
149180140,"WISŁA","Wisła (2)",1981,4,1,112,2
149180140,"WISŁA","Wisła (2)",1981,4,2,110,2
149180140,"WISŁA","Wisła (2)",1981,4,3,108,2
149180140,"WISŁA","Wisła (2)",1981,4,4,110,2
149180140,"WISŁA","Wisła (2)",1981,4,5,110,2
149180140,"WISŁA","Wisła (2)",1981,4,6,110,2
149180140,"WISŁA","Wisła (2)",1981,4,7,110,2
149180140,"WISŁA","Wisła (2)",1981,4,8,113,2
149180140,"WISŁA","Wisła (2)",1981,4,9,115,2
149180140,"WISŁA","Wisła (2)",1981,4,10,117,2
149180140,"WISŁA","Wisła (2)",1981,4,11,118,2
149180140,"WISŁA","Wisła (2)",1981,4,12,117,2
149180140,"WISŁA","Wisła (2)",1981,4,13,117,2
149180140,"WISŁA","Wisła (2)",1981,4,14,116,2
149180140,"WISŁA","Wisła (2)",1981,4,15,116,2
149180140,"WISŁA","Wisła (2)",1981,4,16,116,2
149180140,"WISŁA","Wisła (2)",1981,4,17,114,2
149180140,"WISŁA","Wisła (2)",1981,4,18,115,2
149180140,"WISŁA","Wisła (2)",1981,4,19,115,2
